longitude,latitude,sq,cluster
139.5390367,35.78032528,23,1
139.5168774,35.90175082,24,1
139.4085625,35.94771109,78,1
139.421334,35.80281118,83,1
139.4030837,35.94938892,118,1
139.3932939,36.04688542,120,1
139.3638503,35.96808337,135,1
139.3938144,35.93682337,143,1
139.3710743,35.7523937,152,1
139.4195637,35.93210826,166,1
139.5334477,35.85648316,172,1
139.3892939,35.96909563,173,1
139.2547691,35.78764192,186,1
139.542785,35.84799968,197,1
139.4564287,35.77025473,221,1
139.442943,35.75298721,225,1
139.4954585,35.77877072,229,1
139.4325957,35.82973432,254,1
139.4122629,35.9523104,256,1
139.5383259,35.85136079,257,1
139.3356001,35.81617862,260,1
139.3781156,35.90796557,262,1
139.4513503,35.78415921,269,1
139.4383513,35.77430842,274,1
139.4437087,35.92256276,276,1
139.4859195,35.91348071,280,1
139.3934444,35.86237531,311,1
139.3304277,35.85345383,338,1
139.4473694,35.75132458,366,1
139.5040645,35.87471318,376,1
139.516621,35.76811187,400,1
139.499539,35.7931504,420,1
139.3190095,35.85276444,449,1
139.416332,35.81836127,450,1
139.2443127,35.79001777,454,1
139.5155502,35.78971465,467,1
139.3615202,35.98160002,470,1
139.4452099,35.79016311,476,1
139.4920998,35.7923144,482,1
139.3943508,35.85976565,490,1
139.3117817,35.77049372,496,1
139.3403545,35.77434795,542,1
139.3876861,35.95340619,545,1
139.2702557,36.05728512,553,1
139.4821704,35.93676737,582,1
139.4920462,35.78868651,585,1
139.4185864,35.84857326,605,1
139.3993443,35.82236992,606,1
139.4064382,35.74246509,619,1
139.4064933,35.96116818,642,1
139.481769,35.78717234,678,1
139.4310368,35.85005262,704,1
139.505875,35.78078891,712,1
139.389262,35.95029413,718,1
139.4681648,35.79363882,739,1
139.4297602,35.78174938,743,1
139.3955292,35.83101445,765,1
139.5293253,35.84247953,772,1
139.4796646,35.9175762,784,1
139.5202722,35.76396745,792,1
139.4826383,35.89640885,795,1
139.4791806,35.92012178,799,1
139.4210729,35.85591435,804,1
139.5203478,35.86563862,812,1
139.4009005,36.03512493,822,1
139.4935788,36.06869228,845,1
139.3335144,35.76865102,880,1
139.5247824,35.87423621,890,1
139.2739605,36.05742314,901,1
139.4999029,35.88126633,916,1
139.3185953,35.75776312,926,1
139.3024644,35.77553275,938,1
139.4250271,35.75580767,939,1
139.4874821,35.7765781,947,1
139.3563652,35.76992674,949,1
139.4382094,35.80122765,954,1
139.4259144,35.85399152,979,1
139.4850043,35.93421371,983,1
139.4173195,35.93623307,984,1
139.4618715,35.79619525,1001,1
139.4001173,35.85978993,1014,1
139.4262265,35.85483177,1028,1
139.3754532,35.94207791,1041,1
139.4728408,35.90828691,1042,1
139.3361274,35.89845094,1066,1
139.3568643,35.76241857,1071,1
139.2981245,35.77761818,1072,1
139.4319167,35.85587498,1098,1
139.5216598,35.85106185,1110,1
139.4213347,35.81203435,1118,1
139.3939336,35.95108417,1131,1
139.5204345,35.87553779,1153,1
139.2984995,35.78591061,1168,1
139.3593216,35.85448285,1171,1
139.4406372,35.78842614,1188,1
139.4791624,35.90265247,1193,1
139.4617208,35.88858166,1197,1
139.4020536,35.86332311,1198,1
139.3228089,35.74117085,1211,1
139.3009205,35.87258526,1213,1
139.4920859,35.74504794,1247,1
139.5110563,35.78853505,1285,1
139.3956611,35.97165446,1287,1
139.3701859,35.76515176,1288,1
139.3751059,35.82507949,1299,1
139.4918109,35.88260586,1307,1
139.5447335,35.85405871,1371,1
139.3391032,35.8435565,1395,1
139.3337537,35.74874104,1402,1
139.5128144,35.86847831,1438,1
139.4322875,35.85148017,1459,1
139.4737256,35.74974835,1503,1
139.4673936,35.75074437,1574,1
139.4743374,35.77870578,1584,1
139.3854313,35.83771556,1638,1
139.3580473,35.85393016,1642,1
139.4768949,35.79443277,1688,1
139.4297352,35.92183815,1725,1
139.384822,35.86758532,1730,1
139.3603775,35.96590566,1743,1
139.5509092,35.83935941,1744,1
139.3967972,35.97544834,1769,1
139.3952086,36.03189258,1798,1
139.2737278,35.79161384,1823,1
139.4843205,35.91773719,1838,1
139.4339741,35.87330184,1844,1
139.2998804,35.77350173,1853,1
139.423315,35.85467603,1863,1
139.39121,35.84656943,1873,1
139.3471388,35.85745358,1884,1
139.4184753,35.81459613,1889,1
139.3960659,35.9726067,1927,1
139.4317904,35.87540833,1937,1
139.4585615,35.79154891,1947,1
139.4660267,35.81586147,1948,1
139.4866294,35.90307651,1983,1
139.4180944,35.80693249,1992,1
139.4213022,35.74217281,2008,1
139.4118311,35.83253197,2018,1
139.443156,35.80825198,2066,1
139.433677,35.7833644,2096,1
139.5327582,35.84773637,2116,1
139.4739372,35.74827555,2132,1
139.5392219,35.82881076,2133,1
139.4748192,35.77835035,2152,1
139.4818324,35.76378242,2180,1
139.4848632,35.91569323,2215,1
139.3890496,35.86165482,2222,1
139.4913975,35.90240356,2264,1
139.4641354,35.74901252,2311,1
139.4389108,35.7569416,2330,1
139.4673856,35.81782574,2336,1
139.3847588,35.84054175,2353,1
139.36631,35.76425489,2374,1
139.4958397,35.89525078,2379,1
139.4776348,35.8099789,2425,1
139.3997311,35.95402697,2426,1
139.5387879,35.79454956,2440,1
139.3249374,36.03758536,2445,1
139.347224,35.84130721,2452,1
139.5324198,35.77229661,2459,1
139.3781771,35.83011459,2519,1
139.5431918,35.8468708,2520,1
139.4980564,35.78856098,2522,1
139.4821263,35.90382559,2525,1
139.3588952,35.84516161,2557,1
139.3951442,36.00430571,2576,1
139.3896484,35.83950165,2580,1
139.5201004,35.79636814,2585,1
139.3228719,35.75619843,2590,1
139.5225005,35.87099018,2594,1
139.4102576,35.92860556,2598,1
139.5416999,35.82721654,2716,1
139.4631642,35.79187099,2719,1
139.4930525,35.78865456,2722,1
139.4295145,35.84228256,2744,1
139.491595,35.89849073,2771,1
139.453017,35.78270351,2773,1
139.3748034,35.75327303,2787,1
139.443733,35.75398781,2801,1
139.4580367,35.88912653,2834,1
139.4099511,36.04083225,2848,1
139.5076084,35.87210157,2881,1
139.4082923,35.8574634,2888,1
139.2999749,35.77922623,2934,1
139.4665309,35.75472675,2965,1
139.5619118,35.83580413,2987,1
139.2837332,35.79519146,3012,1
139.3813516,35.95082465,3028,1
139.436222,35.7937197,3048,1
139.4117599,35.81849458,3078,1
139.4559324,35.88632782,3101,1
139.4941723,35.88360963,3128,1
139.4159347,35.92501298,3137,1
139.4365184,35.91998316,3142,1
139.3921269,36.00495489,3143,1
139.4514193,35.89156125,3155,1
139.3406821,35.90301569,3158,1
139.4487232,35.80754421,3161,1
139.4710072,35.91527864,3218,1
139.4640887,35.78667092,3248,1
139.4202319,35.75377315,3264,1
139.4085045,35.74378921,3305,1
139.3905008,35.75277323,3318,1
139.3210842,35.78052544,3346,1
139.4579335,35.89355414,3363,1
139.4797425,35.91224706,3371,1
139.4889481,35.8970695,3373,1
139.40916,35.80232489,3413,1
139.5123627,35.79718359,3428,1
139.3850032,35.83465277,3435,1
139.4148687,35.74225395,3463,1
139.4627479,35.75593762,3475,1
139.4266724,35.92313533,3507,1
139.4073455,35.91938911,3509,1
139.3379943,35.76599918,3512,1
139.4290699,35.94446104,3544,1
139.4783071,35.90027926,3545,1
139.4061411,35.96232539,3550,1
139.5231483,35.85263849,3577,1
139.4970853,36.06800894,3598,1
139.4263487,35.8702718,3616,1
